EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,356 / 4/5 / 37/38,7895265298544
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,378 / 6 / 39/40,7895265298551
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,390 / 7/8 / 41/42,7895265298568
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,412 / 9 / 43/44,7895265298575
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,434 / 10/11 / 45/46,7895265298582
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,456 / 12 / 47/48,7895265298599
,,2/14
UPC,,
COLECAO,,
TOP,,
UPC CODE,,
4000029 -,,
COR/COLOR,BRA SIZE/ USA SIZE/ EUR SIZE,UPC CODE
,,3/14
,,,GRADE,,,
,,,COLECAO,,,
,,,NOME DO MODELO,,,
,,,Artigos Caixa Grade,,,
,,,,,,Código Dun - Cx
Artigo,Descrição,Cor,Tam.de,Tam.Até,Grade,Grade
,,,,,,4/14
4000032-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
0001 - BRANCO / WHITE / BLANCO,334 / 3 / 35/36,37895265145283
0001 - BRANCO / WHITE / BLANCO,356 / 4/5 / 37/38,37895265145290
0001 - BRANCO / WHITE / BLANCO,378 / 6 / 39/40,37895265145306
0001 - BRANCO / WHITE / BLANCO,390 / 7/8 / 41/42,37895265145313
0001 - BRANCO / WHITE / BLANCO,412 / 9 / 43/44,37895265145320
0001 - BRANCO / WHITE / BLANCO,434 / 10/11 / 45/46,37895265145337
0001 - BRANCO / WHITE / BLANCO,456 / 12 / 47/48,37895265757790
0090 - PRETO / BLACK / NEGRO,334 / 3 / 35/36,37895265700321
0090 - PRETO / BLACK / NEGRO,356 / 4/5 / 37/38,37895265700338
0090 - PRETO / BLACK / NEGRO,378 / 6 / 39/40,37895265700345
0090 - PRETO / BLACK / NEGRO,390 / 7/8 / 41/42,37895265700352
0090 - PRETO / BLACK / NEGRO,412 / 9 / 43/44,37895265700369
0090 - PRETO / BLACK / NEGRO,434 / 10/11 / 45/46,37895265700376
0090 - PRETO / BLACK / NEGRO,456 / 12 / 47/48,37895265788916
0090 - PRETO / BLACK / NEGRO,478 / 13/14 / 49/40,37890732505720
0324 - CINZA / GREY / GRIS,334 / 3 / 35/36,37890557698546
0324 - CINZA / GREY / GRIS,356 / 4/5 / 37/38,37890557698553
0324 - CINZA / GREY / GRIS,378 / 6 / 39/40,37890557698560
0324 - CINZA / GREY / GRIS,390 / 7/8 / 41/42,37890557698577
0324 - CINZA / GREY / GRIS,412 / 9 / 43/44,37890557698584
0324 - CINZA / GREY / GRIS,434 / 10/11 / 45/46,37890557698591
0324 - CINZA / GREY / GRIS,456 / 12 / 47/48,37890557698607
0727 - CAFE / DARK BROWN / MARRON OSCURO,334 / 3 / 35/36,37890732429842
0727 - CAFE / DARK BROWN / MARRON OSCURO,356 / 4/5 / 37/38,37890732429859
0727 - CAFE / DARK BROWN / MARRON OSCURO,378 / 6 / 39/40,37890732429866
0727 - CAFE / DARK BROWN / MARRON OSCURO,390 / 7/8 / 41/42,37890732429873
0727 - CAFE / DARK BROWN / MARRON OSCURO,412 / 9 / 43/44,37890732429880
0727 - CAFE / DARK BROWN / MARRON OSCURO,434 / 10/11 / 45/46,37890732429897
0727 - CAFE / DARK BROWN / MARRON OSCURO,456 / 12 / 47/48,37890732429903
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,334 / 3 / 35/36,37891109262000
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,356 / 4/5 / 37/38,37891109262017
,,5/14
4000032-D12,,
COLLECTION 2011/2012,COLLECTION 2011/2012,
HAVAIANAS BRASIL,,
DUN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL - CÓDIGO DUN 12 PRS/UNI,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,DUN CODE
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,378 / 6 / 39/40,37891109262024
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,390 / 7/8 / 41/42,37891109262031
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,412 / 9 / 43/44,37891109262048
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,434 / 10/11 / 45/46,37891109262055
2197 - AMAR CITRICO / YELLOW CITRUS / AMARILLO CITRUS,456 / 12 / 47/48,37891109262062
2619 - AMAZONIA / AMAZONIA / AMAZONIA,334 / 3 / 35/36,37891109262130
2619 - AMAZONIA / AMAZONIA / AMAZONIA,356 / 4/5 / 37/38,37891109262147
2619 - AMAZONIA / AMAZONIA / AMAZONIA,378 / 6 / 39/40,37891109262154
2619 - AMAZONIA / AMAZONIA / AMAZONIA,390 / 7/8 / 41/42,37891109262161
